f_target,seed,beta,seed_fraction,unserved_fraction,detonated,run_id
0.1,1000,0.3,0.05,0.0,True,c6d93959
0.1,1001,0.3,0.05,0.0,True,f7e546f3
0.1,1002,0.3,0.05,0.0,True,5b0785d7
0.1,1003,0.3,0.05,0.0,True,8d996e1b
0.1,1004,0.3,0.05,0.0,True,5beb7bd7
0.1,1005,0.3,0.05,0.0,True,42b1fc59
0.1,1006,0.3,0.05,0.02355212355212355,True,e4e2f377
0.1,1007,0.3,0.05,0.0,True,5cfed081
0.1,1008,0.3,0.05,0.0,True,952ebf33
0.1,1009,0.3,0.05,0.0,True,2de58bef
0.1,1010,0.3,0.05,0.3637065637065636,True,073b7dce
0.1,1011,0.3,0.05,0.0,True,a542682f
0.1,1012,0.3,0.05,0.0,True,9f72097e
0.1,1013,0.3,0.05,0.0,True,461c7698
0.1,1014,0.3,0.05,0.0,True,eb93ab47
0.1,1015,0.3,0.05,1.0,True,aa0b3040
0.1,1016,0.3,0.05,0.02355212355212355,True,76ade41d
0.1,1017,0.3,0.05,0.3637065637065636,True,55cfe56c
0.1,1018,0.3,0.05,0.0,True,d9f6dc3c
0.1,1019,0.3,0.05,1.0,True,59965114
0.1,1020,0.3,0.05,1.0,True,4a3ce0f4
0.1,1021,0.3,0.05,0.0,True,664346db
0.1,1022,0.3,0.05,0.0,True,d6c8be0b
0.1,1023,0.3,0.05,0.3637065637065636,True,ef9136a2
0.1,1024,0.3,0.05,0.0,True,72b8363a
0.1,1025,0.3,0.05,1.0,True,f71539f1
0.1,1026,0.3,0.05,1.0,True,0c55fb0d
0.1,1027,0.3,0.05,1.0,True,34d80ecb
0.1,1028,0.3,0.05,0.3637065637065636,True,2ef1eae6
0.1,1029,0.3,0.05,0.0,True,73a50a04
0.1,1030,0.3,0.05,1.0,True,dcbfcad5
0.1,1031,0.3,0.05,0.0,True,4242b486
0.1,1032,0.3,0.05,0.0,True,b73a6819
0.1,1033,0.3,0.05,0.3637065637065636,True,46b1d2be
0.1,1034,0.3,0.05,0.02355212355212355,True,0bc36b4a
0.1,1035,0.3,0.05,0.0,True,4667a4e8
0.1,1036,0.3,0.05,0.0,True,64fd8286
0.1,1037,0.3,0.05,1.0,True,3b862eb5
0.1,1038,0.3,0.05,1.0,True,a1d99d73
0.1,1039,0.3,0.05,0.3637065637065636,True,78f15342
0.1,1040,0.3,0.05,0.0,True,b1f5bc87
0.1,1041,0.3,0.05,0.3637065637065636,True,4b4ecc64
0.1,1042,0.3,0.05,1.0,True,19684424
0.1,1043,0.3,0.05,0.0,True,17d45a8b
0.1,1044,0.3,0.05,0.0,True,1d34125e
0.1,1045,0.3,0.05,0.0,True,99102d1c
0.1,1046,0.3,0.05,0.3637065637065636,True,98f057ee
0.1,1047,0.3,0.05,1.0,True,1558658b
